x,y,color
4.463481723979613,17.680855410691496,o
3.646876502861202,18.5217780331528,o
2.1727766731602314,15.74367437368164,o
1.7026003149251143,16.237092036122853,o
5.768206090168136,15.930889963019375,b
7.373585453862366,13.68530232835575,b
8.731094583909904,11.23684651533367,b
9.682960006449214,8.394614815640898,b
9.878468805609542,5.360762819443279,b
9.186504124486149,2.410136738546924,b
8.101061112849463,-0.15462006920697058,b
7.822107754580722,-1.8452368754614843,b
8.835015474623178,-3.884203656637852,b
9.86273879889828,-6.485627630393148,b
10.667356535396918,-9.132355557414675,b
11.012382181271583,-12.15403629811234,b
10.275821358010795,-15.305213692284157,b
8.510574649003846,-17.847325104071754,b
6.593785622527067,-19.756503406710575,b
4.197697560791164,-21.69813572553437,b
1.1117871837845008,-22.446083747359204,b
-2.497005009648157,-21.4011082944488,b
-3.826606147965373,-20.10787342109567,b
-5.180010773624116,-20.7017082408554,b
-7.859895402139079,-22.073412351592687,b
-10.995905656158504,-22.478178900141156,b
-13.262482871662659,-22.544772060048707,b
-16.258439248351404,-22.818332593136297,b
-19.018550438726333,-22.52461788431558,b
-22.206741833087126,-20.07055489497512,b
-22.389874969270842,-16.936679425354196,b
-22.464609193493505,-14.314718038393837,b
-22.426198599342538,-11.687130690607765,b
-21.985924901342088,-8.398902296606128,b
-18.48948924330383,-6.217205112025638,b
-16.126382241561682,-5.964107520191836,b
-12.57093119007596,-6.63949955063191,b
-10.908101095104088,-7.11243814452136,b
-9.991421580114817,-6.436533812794268,b
-9.656180735488675,-4.586772598419737,b
-9.780418135498762,-2.1637346205350627,b
-10.336732301769768,-0.7523037013444149,b
-12.96449610536294,0.9086130928819967,b
-13.546536629468767,4.140413809790343,b
-13.56319525013054,6.8030176572861505,b
-13.596190301349719,9.42060558376658,b
-13.443172741631622,12.250472518162162,b
-12.785453014076179,15.261972050907726,b
-9.989102106972602,17.70043563796175,b
-7.325410932133562,18.60505411059774,b
-4.6568713206649,19.09541288556801,b
-2.1485141257993594,19.689060699481125,b
1.1287868123424154,19.845337355667787,b
3.3783237757858506,14.117478116967085,y
4.832587405016329,12.090520551509577,y
6.029440959379524,9.932596656962254,y
6.742250091075937,7.8011291851280005,y
6.885562694434393,5.566949651443906,y
6.376282967595927,3.460211521296508,y
5.304772548651581,0.9320124656161624,y
4.884267993777614,-2.452770857921998,y
6.13056155724923,-5.182636946722755,y
7.026327374002979,-7.462751076393401,y
7.75150270505324,-9.837902465897807,y
8.013001374469678,-12.093087337593387,y
7.557457482142927,-14.036159777599432,y
6.289528517020474,-15.830656048524537,y
4.469318665153281,-17.638334351364197,y
2.8007951133121844,-19.043203795667388,y
0.7596421606602491,-19.466823120510853,y
-0.5163055267087261,-19.14792619832708,y
-3.2350797113170002,-17.16676878597198,y
-6.815904971397042,-18.18698158101881,y
-8.80683679408345,-19.226782414241775,y
-10.89422655271161,-19.47990250195465,y
-13.85177137063431,-19.603218207918893,y
-16.083978724765938,-19.823409634910114,y
-18.62038279088522,-19.551158194961666,y
-19.30314171668247,-19.316163508482095,y
-19.391796135305796,-16.829332765737792,y
-19.464634598584208,-14.327064288788529,y
-19.426198617452417,-11.686801055552907,y
-19.300452004032458,-9.736151457314566,y
-18.34208662193693,-9.213581668337305,y
-15.422996354900016,-8.880483403792093,y
-14.06647673677083,-9.24014245533089,y
-10.690027519960195,-10.104501632454722,y
-7.38240580505774,-7.917424317019114,y
-6.656342768775729,-4.6179522948187,y
-6.802043070094228,-1.8041766004930404,y
-8.458442411680156,1.5869327315086537,y
-10.224721508041497,2.130756765234853,y
-10.55002744698106,4.285095250434467,y
-10.563227771005629,6.7890489711300495,y
-10.596710233290075,9.476456468387337,y
-10.471195874441326,11.841383895873847,y
-9.990318799634373,14.172373627975315,y
-8.89566687554575,14.906800122244906,y
-6.582923514732527,15.698387216197709,y
-4.082266645910654,16.150955470737465,y
-1.466998234315306,16.76749671940903,y
0.48744703866364586,16.91469181335161,y
